fundo,Fundo,temporada,variedad,biofix_tipo,biofix_fecha,t0_operativo,t0_latitudinal,fecha_brotacion_ELP4,fecha_inicio_ventana,fecha_fin_ventana,fecha_fondo_valle,metrica_valle,valor_minimo_valle,dias_biofix_vs_valle,gdd_entre_biofix_y_t0,gdd_entre_biofix_y_brotacion,gdd_previo_a_t0_desde_inicio_ventana,actividad_termica_en_biofix,diagnostico_valle,comentario_metodologico,fuente_clima,archivo_origen
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,1_mayo,2025-05-01,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,-55,282.26,353.37,1198.53,14.24,anterior_al_valle,Biofix (2025-05-01) precede al fondo invernal (2025-06-25) en 55 días; arrastra 282.3 GDD de calor otoñal previo a T0.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,15_mayo,2025-05-15,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,-41,221.77,292.88,1198.53,13.8,anterior_al_valle,Biofix (2025-05-15) precede al fondo invernal (2025-06-25) en 41 días; arrastra 221.8 GDD de calor otoñal previo a T0.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,1_junio,2025-06-01,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,-24,163.02,234.13,1198.53,11.31,anterior_al_valle,Biofix (2025-06-01) precede al fondo invernal (2025-06-25) en 24 días; arrastra 163.0 GDD de calor otoñal previo a T0.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,solsticio_invierno,2025-06-21,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,-4,123.54,194.66,1198.53,9.51,cercano_al_valle,"Biofix (2025-06-21) cae en la ventana fisiológica del fondo térmico invernal (2025-06-25, -4d).",Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,1_julio,2025-07-01,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,6,113.6,184.71,1198.53,10.03,cercano_al_valle,"Biofix (2025-07-01) cae en la ventana fisiológica del fondo térmico invernal (2025-06-25, +6d).",Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,37,35.87,106.98,1198.53,11.97,posterior_al_valle,Biofix (2025-08-01) posterior al fondo invernal (2025-06-25) en 37 días; omite calentamiento temprano.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,51,-7.58,63.53,1198.53,12.38,posterior_al_valle,Biofix (2025-08-15) posterior al fondo invernal (2025-06-25) en 51 días; omite calentamiento temprano.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,68,-51.42,19.7,1198.53,11.8,posterior_al_valle,Biofix (2025-09-01) posterior al fondo invernal (2025-06-25) en 68 días; omite calentamiento temprano.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,t0_operativo,2025-08-13,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,49,0.0,71.11,1198.53,12.59,posterior_al_valle,Biofix (2025-08-13) posterior al fondo invernal (2025-06-25) en 49 días; omite calentamiento temprano.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
ucuquer,Ucuquer,2025_2026,cabernet_sauvignon,t0_latitudinal,2025-08-17,2025-08-13,2025-08-17,2025-09-09,2024-12-31,2026-05-18,2025-06-25,promedio_movil_14d_temp_media,8.91,53,-14.41,56.71,1198.53,12.14,posterior_al_valle,Biofix (2025-08-17) posterior al fondo invernal (2025-06-25) en 53 días; omite calentamiento temprano.,Datavid,data/processed/phenology_climate/ucuquer_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,1_mayo,2025-05-01,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,-75,424.49,494.71,1418.38,14.22,anterior_al_valle,Biofix (2025-05-01) precede al fondo invernal (2025-07-15) en 75 días; arrastra 424.5 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,15_mayo,2025-05-15,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,-61,353.87,424.09,1418.38,14.46,anterior_al_valle,Biofix (2025-05-15) precede al fondo invernal (2025-07-15) en 61 días; arrastra 353.9 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,1_junio,2025-06-01,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,-44,271.11,341.33,1418.38,11.78,anterior_al_valle,Biofix (2025-06-01) precede al fondo invernal (2025-07-15) en 44 días; arrastra 271.1 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,solsticio_invierno,2025-06-21,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,-24,213.35,283.58,1418.38,11.01,anterior_al_valle,Biofix (2025-06-21) precede al fondo invernal (2025-07-15) en 24 días; arrastra 213.4 GDD de calor otoñal previo a T0.,INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
los_acacios,Los Acacios,2025_2026,cabernet_sauvignon,1_julio,2025-07-01,2025-08-28,2025-08-01,2025-09-14,2025-01-01,2026-05-20,2025-07-15,promedio_movil_14d_temp_media,9.69,-14,184.12,254.34,1418.38,12.25,cercano_al_valle,"Biofix (2025-07-01) cae en la ventana fisiológica del fondo térmico invernal (2025-07-15, -14d).",INIA/Agromet,data/processed/phenology_climate/los_acacios_cabernet_sauvignon_2025_2026.xlsx
