fundo,temporada,variedad,biofix_tipo,biofix_fecha,fecha_brotacion_ELP4,gdd_acumulado_a_brotacion,gdd_acumulado_previo_t0,gdd_entre_biofix_y_t0,dias_biofix_vs_valle,diagnostico_valle,threshold_GDD_usado,alerta_temporada_anterior,diagnostico_biofix
nilahue,2025_2026,carmenere,1_septiembre,2025-09-01,2025-09-04,10.3928934694148,1260.6505201844432,-8.394594954491765,69,posterior_al_valle,75.00055191349769,NO,OK
qba_seca,2025_2026,carmenere,15_julio,2025-07-15,2025-08-11,92.38918886591809,1343.9246202195548,50.68729945323027,0,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (50.7 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,carmenere,1_agosto,2025-08-01,2025-08-11,44.02759706473303,1343.9246202195548,2.325707652045214,17,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (2.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,carmenere,15_agosto,2025-08-15,2025-08-11,,1343.9246202195548,-50.71253495687362,31,posterior_al_valle,75.00055191349769,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
qba_seca,2025_2026,carmenere,1_septiembre,2025-09-01,2025-08-11,,1343.9246202195548,-100.45035027680159,48,posterior_al_valle,75.00055191349769,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
ucuquer,2025_2026,carmenere,15_julio,2025-07-15,2025-08-27,124.67375682427425,1198.5300082037713,82.9144761154398,22,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (82.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
ucuquer,2025_2026,carmenere,1_agosto,2025-08-01,2025-08-27,77.6276889994811,1198.5300082037713,35.86840829064664,39,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (35.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
ucuquer,2025_2026,carmenere,15_agosto,2025-08-15,2025-08-27,34.1766457011433,1198.5300082037713,-7.582635007691154,53,posterior_al_valle,75.00055191349769,NO,OK
ucuquer,2025_2026,carmenere,1_septiembre,2025-09-01,2025-08-27,,1198.5300082037713,-51.41670763200967,70,posterior_al_valle,75.00055191349769,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
idahue,2025_2026,chardonnay,15_julio,2025-07-15,2025-09-19,184.1805899393249,1283.5965276891986,57.04072634830729,21,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (57.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,chardonnay,1_agosto,2025-08-01,2025-09-19,147.7450110102074,1283.5965276891986,20.605147419189734,38,posterior_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (20.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,chardonnay,15_agosto,2025-08-15,2025-09-19,112.70436221691831,1283.5965276891986,-14.435501374099363,52,posterior_al_valle,21.274585190099017,NO,OK
idahue,2025_2026,chardonnay,1_septiembre,2025-09-01,2025-09-19,71.5460574196236,1283.5965276891986,-55.59380617139408,69,posterior_al_valle,21.274585190099017,NO,OK
keule,2025_2026,chardonnay,15_julio,2025-07-15,2025-08-26,97.74962354132155,166.02899652618746,102.60337762536737,19,cercano_al_valle,21.274585190099017,SI: Acumulación térmica previa a t0 (102.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
